Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
4,512,10029.784686298864,3.829386976746358,3.377605639856174,3.845785714181852,3.4261522009517997,3.4107207795080385,3.749010156424499,2.050729356218993,3.106348821430227,2.846958567764438,2.98856375031816,2.931140426807568,57.21705632842985,43.10151898521627,45.70963248289577,57.36813071754639,34.510411053693474,37.51808494013227,10.062626720700166,31.63842218161142,42.43509857390167,20.61422396220085,28.61290866019462,10029.78274885132,3.8293869865339145,3.377597070060382,3.845781496790369,3.426152531463196,3.4107193503297606,3.749009858474856,2.0507273150951724,3.1063481297075017,2.846957972071511,2.988564555421166,2.931141739181568,57.21708766934865,43.10159798653805,45.70963708618032,57.36810395613981,34.51042857497347,37.518059419808175,10.062593482997457,31.63841296140012,42.43508743045206,20.614186491429468,28.612767647509187,0.6758931922446618,38.79457712759901,71.95653543741437,3.816448428813084,41.8389820534593,503.3770025410228,369.7699528625282,8.007685259687674,29.18552777446665,6.400140807022318,28.99394989027968,21.96964304888155,10.670956065121231,27.704693619921105,13.299957095309088,34.73498014822287,1.7215137067378636,38.86489267956499,17.508714382838736,12.723978206520536,0.0866534328424403,17.165020915908276,16.868641271222774,3.5247961607677345,7.232740565761434,6.078419815538439,9.582180579227584,17.930143509319876,8278.989468336105,537.0,12351.0,3825.298019362288,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,450,10029.80086026487,3.82882730470664,3.3794748305551536,3.8454472004005806,3.4284956116310776,3.414660657671156,3.749877691839312,2.0528669773158703,3.1048260585009144,2.8468433025412705,2.986694836203894,2.931001323895221,57.080678346519626,43.04341281068525,45.63254888165817,57.18197072297557,34.318415360737546,37.20791227152883,10.076774242914691,31.62998903887077,42.4543449125986,20.75609931369537,28.598415423289836,10029.80086026487,3.82882730470664,3.3794748305551536,3.8454472004005806,3.4284956116310776,3.414660657671156,3.749877691839312,2.0528669773158703,3.1048260585009144,2.8468433025412705,2.986694836203894,2.931001323895221,57.080678346519626,43.04341281068525,45.63254888165817,57.18197072297557,34.318415360737546,37.20791227152883,10.076774242914691,31.62998903887077,42.4543449125986,20.75609931369537,28.598415423289836,0.6771874421927904,37.75856604025245,73.23196010169681,3.797503059741776,40.97697235639293,507.9923530082498,366.6317783999883,7.932216169333608,29.500578660558087,6.377941274956888,29.166557370474077,22.091563764945583,10.466454113821325,26.94496111325976,13.642410899340128,34.210548964046566,1.750022042196567,39.27152766545877,17.377405714004325,12.68023366557482,0.0947852665154826,17.67449834154871,17.6944757859233,3.4704658892883407,7.489820635638635,6.5211025654431385,9.22091896726337,18.451719961890557,6559.424226999283,482.0,11086.0,4567.51839417355,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,443,10029.937977652284,3.827994794695632,3.3801464628510263,3.8453612527697256,3.428384825840187,3.4132398516986435,3.742972943603892,2.0502285503057207,3.104803329284855,2.8468839950407614,2.988701385411884,2.930966998144915,57.16819218250944,43.01697486722095,45.67673499240093,57.29391697785748,34.376525278015215,37.4117307885814,10.07881926032044,31.5338373038239,42.45607546536777,20.802777280154583,28.59560739046041,10029.93795484953,3.827996171206416,3.380147270691406,3.8453615021851535,3.428383960252473,3.413244262338291,3.7429713930573953,2.05022929324541,3.104798741991881,2.846884019391087,2.988699364453784,2.930967187881995,57.16814402736255,43.01696927938268,45.67667338648093,57.29383084935002,34.376340672377275,37.41191515418436,10.078847026149544,31.53389307046715,42.45606746056234,20.8027193000648,28.59559797758329,0.6772357224219072,37.60734522894994,73.58549302769231,3.8057912178145785,41.32027401091022,505.6013920456634,362.6262115118728,7.9288703894612285,30.598057969651236,6.586889310453663,29.41209087578905,22.21506763230585,10.732274112900743,27.58429376080738,14.23570374695769,34.081767405773135,1.703125868852514,38.04974263403513,17.294700526934136,12.7729855597887,0.0913303008838113,19.004551194232743,17.884209422854216,3.4995711202211326,7.3357846601775645,6.042915842271464,9.267240996732504,18.396375761681018,6943.211863517761,452.0,10396.0,6360.9872279953815,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,420,10030.34210689868,3.829076165337659,3.3782256738814724,3.844619284845352,3.427626045359043,3.407926103777573,3.7386560768844816,2.050757369183497,3.1059874403372416,2.846982959437077,2.9904035261032167,2.9311045623765724,57.19192467151474,43.08793106245579,45.6930533282733,57.232813582713966,34.63005480068835,37.845895787250925,10.070418463997273,31.6059381461357,42.422421736323486,20.69031737538129,28.605959673616965,10030.341978168975,3.8290720112711902,3.378225752211768,3.8446194358517376,3.427625976330415,3.4079272446136253,3.738654542153228,2.050753965075943,3.105987764134861,2.846985612436301,2.9904006980808298,2.93110423561514,57.19192051582552,43.08793569565541,45.693033695596085,57.23280548409085,34.63008246582651,37.84590217892175,10.070451267980053,31.60590819629562,42.42242383398894,20.69031998754405,28.60595808774429,0.6747195813566245,38.19240534875664,72.46174757243031,3.803136983544942,41.55299042192461,504.4744862809552,370.0950927367137,7.950888781863482,29.57617017535793,6.431744833332334,28.95847658146984,22.20080395317201,10.994422492701242,26.977999586409773,13.848267944622467,34.578869342423154,1.7765493722873749,38.00564053323996,17.2152569327994,13.11592164033053,0.0702857195269663,18.990862126447983,18.556830269020114,3.501972372495943,7.24865208285549,6.391507746492793,9.411944019730097,18.1975649833161,6946.854683637619,426.0,9798.0,2804.990567545963,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,386,10030.41338782716,3.8286764035699887,3.37817164526782,3.845782006989399,3.427778482666043,3.4029449352729557,3.74298606032834,2.052007293881408,3.0945547453135736,2.8469740832474235,2.9891939366313918,2.9311274966214045,57.10937554469059,43.09234734756592,45.63206652617552,57.20651422592106,34.88131104600184,37.23500329816309,10.082563413333338,31.51235828846421,42.43359298519529,20.89236058548429,28.60634416682907,10030.41334686517,3.8286762072153246,3.3781712341551877,3.8457836401868617,3.427778868594453,3.402942546373538,3.742987079374727,2.052008059008456,3.094558523085888,2.8469757886430527,2.9891930865623184,2.9311273663635617,57.10939600929767,43.09235174445118,45.63205934883344,57.206460924884325,34.881295547293725,37.23498602007923,10.08258275934648,31.512218121391005,42.43358097212313,20.892401079217628,28.60633264294789,0.6759451251765134,38.74602301348224,72.40119270092345,3.824747491255787,41.50098210696393,498.81773527818393,366.1549055623176,8.02417631602553,29.98272301962469,6.391775676156514,28.734922777008016,22.631373220622457,10.404738611243122,27.3687457029025,13.968723664941136,33.93982294301308,1.8284141343576523,36.96462054570748,15.820385711067525,13.713561438197438,0.1500704460903323,20.692062678661557,19.921656502963938,3.284389912724203,7.042235704657722,5.413880734461046,9.157342471087022,18.37922789417716,5848.614335536957,391.0,8993.0,9476.442881250556,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,430,10030.471892112151,3.8284465797402287,3.3779796207451818,3.846452125801804,3.430995451543542,3.402993882148448,3.7415298303583873,2.050497336086911,3.1133492163185847,2.847839988816641,2.9885605215619786,2.931146267138132,57.19737933244233,43.107566615241744,45.68444070297352,57.121743602602336,34.84746481002605,37.58399581928878,10.073164085563937,31.685148875549533,42.41151331044624,20.74357650920696,28.603259877990617,10030.471780544389,3.828456055760549,3.377980408705867,3.8464414379724303,3.431002294472712,3.402996819577376,3.741522592557631,2.050497992652135,3.1133572046925355,2.847834757555553,2.9885739181208404,2.9311464278034727,57.19740433115739,43.107539595159466,45.68446814408867,57.12154204582157,34.84769425154696,37.5842631926461,10.073211234130545,31.685056181113104,42.41149327526248,20.743578462561278,28.60327261674546,0.6705208891787853,37.68481246580703,72.48169702423596,3.78824020166738,41.07698624163498,501.3270187063599,370.06653544362496,7.943333357768235,30.30276525335922,6.452856967059078,28.66367192543373,22.624176737598617,10.422481388510132,28.148260152950023,13.577842576954096,34.31519313842484,1.8699880844141896,38.8220895402206,17.172928018727827,13.187975164287096,0.034525232026545,17.186518769319534,17.53215870802132,3.75062432306652,7.333260856791431,6.349104160535728,9.22573709930862,18.353793511576164,6165.848744630814,437.0,10051.0,6932.386322053469,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,336,10030.582275826486,3.83007843599053,3.3784852166183588,3.845371854479925,3.4265894357124136,3.399673902508904,3.746370211816594,2.050097871153727,3.107574386821593,2.847822756762297,2.990031375502155,2.931098188915682,57.23207701728082,43.09863152566923,45.73076620062342,57.34255318738565,35.03455370307538,37.58600822096583,10.061490367396273,31.684702398557988,42.41643151475793,20.63327963918609,28.598478724989555,10030.582105519316,3.830078950540784,3.37848640747465,3.845371187701663,3.4265930139511824,3.399674018564518,3.746364761020616,2.0500967145953224,3.1075806224190154,2.847823528022844,2.990032470565489,2.931098039327,57.23209147218476,43.09860551469488,45.73078391630794,57.34253128490436,35.034571391000654,37.586049476512095,10.06149320415756,31.68443989413269,42.41640646097597,20.63335855273799,28.598463504801813,0.6779802294492421,38.67809678458482,72.83123596768162,3.814101705784106,41.005781643604095,503.9871710083858,369.8832598214516,7.899617765415609,28.446176674222844,6.502796164235148,29.73860394032984,21.271804894965687,10.939301532719394,27.54733633096448,13.09869313884268,35.15430934241054,1.7899473560233128,37.429467875873705,16.369895303711644,13.527574950381876,0.0581312696602003,17.080109357738966,17.315152310696813,3.638227613673652,6.998352734608778,5.291260767650235,9.912473016597314,17.63757852389255,5063.486555814743,343.0,7889.0,6631.634638955502,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,318,10030.977426233349,3.8285680279375978,3.376767411588004,3.84611531298176,3.4314491479068625,3.3979903719963818,3.748180459950711,2.0544557466411963,3.1002541814088453,2.847468278407557,2.9883426201779195,2.931205018976862,57.02018722740772,43.15641193338957,45.59849938767482,56.97721633081472,35.08747290180834,37.29248644216521,10.077103744385584,31.708326621072565,42.41510650941658,20.748517038851386,28.608422521510807,10030.977426233349,3.8285680279375978,3.376767411588004,3.84611531298176,3.4314491479068625,3.3979903719963818,3.748180459950711,2.0544557466411963,3.1002541814088453,2.847468278407557,2.9883426201779195,2.931205018976862,57.02018722740772,43.15641193338957,45.59849938767482,56.97721633081472,35.08747290180834,37.29248644216521,10.077103744385584,31.708326621072565,42.41510650941658,20.748517038851386,28.608422521510807,0.6723282380266205,38.31794533188676,71.84914064489122,3.7822225943893697,41.0060137476341,498.0627608671331,371.88633132480265,8.032167576176068,29.56392790523041,6.274276098274807,28.91408950125947,22.26954084098648,10.090822050950122,26.9484468674234,13.308527576637315,34.0882510769191,1.8693126952800911,37.41973059078547,16.31471528443286,13.586137290241894,0.0949447427680394,17.055821520035227,17.26210381193298,3.673837291416647,7.002413119348315,5.3970588086018605,9.526701370408386,17.950830050662514,5105.2642114162445,358.0,8234.0,5454.257465139,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,523,10031.26272391552,3.827498413845701,3.3787805042608072,3.845872313860376,3.429112477615745,3.4189856138729824,3.73725301530984,2.056512933416402,3.1118295240480034,2.8472730021475634,2.988485926131306,2.931050387953813,56.78341081090313,43.0716258193249,45.46510538682182,57.26005730566636,34.199877192943944,37.74040054358124,10.119070851524423,31.445587839086457,42.40728980289188,20.77522235752646,28.602755007906637,10031.26268764028,3.827498159714628,3.378780142266364,3.8458734226256768,3.429112953552492,3.418987106030724,3.737253501320021,2.056512855846499,3.1118311494874944,2.84727252712881,2.988485907225896,2.9310505300383705,56.783395180984485,43.07163239496008,45.46509906028408,57.26005219765176,34.19988234445068,37.74039445657802,10.11908089511422,31.445566966023463,42.407285277433935,20.77521306680854,28.602758291152565,0.6820331082563671,39.15868690388624,72.7684883815628,3.8304728133204367,39.94877456417566,506.15950814779376,372.7746793801732,7.906688367610758,30.50053166199692,6.546945671196138,29.846197238499023,22.407329721293085,9.90018036368794,25.98490222526614,13.62983936072805,33.64576627303018,1.7285703332255375,37.91372579760769,17.16352678343609,12.844742940350132,0.03898013479251,19.906928327353697,18.69494129313352,3.470999060935795,7.295823929429666,6.137947074512165,9.363783702792542,18.23344652924577,7747.619745254517,545.0,12535.0,10008.115250022203,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,571,10031.32458295446,3.829092483437026,3.3787096100939538,3.846124644722007,3.42309484337798,3.4265280190678715,3.743349759817873,2.053468481500506,3.109720406477562,2.847214010082299,2.9872533871128875,2.931052472596189,57.04258538014163,43.0621853491208,45.59812257563153,57.54061769604289,33.91943825891366,37.32763003323895,10.08429841136904,31.57402120727756,42.452234305023296,20.83280963781716,28.605851531301244,10031.324509814,3.8290910750590577,3.3787093464355955,3.846124718066753,3.423091759670404,3.4265279794925254,3.743354490334939,2.05346766164463,3.109718139183736,2.847214905919439,2.9872572640240618,2.9310534733959503,57.04257602480904,43.06219530002696,45.59813155083003,57.54055659073968,33.9195024310434,37.32762288217485,10.084261460983726,31.57400780730317,42.45226941764858,20.832832528225996,28.60588658519679,0.6763106781356724,38.07595303147456,72.65200505740987,3.80267850242638,40.84353742953862,505.5438757771311,367.5120629195293,7.978689477157366,29.349095963341984,6.328464860760136,28.95676214186087,22.32851979878132,10.137460967906163,27.204212732651207,13.762033526241556,33.814344645348875,1.660862150244642,38.34583670507975,16.499690538553406,12.832229339720552,0.0683068647881612,20.323555409490123,19.331086247842084,3.267260564760802,7.372085926740637,6.046404829667042,9.320929975608886,18.395746815789824,8477.993326187134,595.0,13685.0,3892.364153121947,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
