,molecule,temperature,sim_liq_density,sim_vap_density,sim_Hvap,sim_Pvap,sim_Tc,sim_rhoc
5,R170,215,498.1,8.33,405.04,4.47,305.6736568415873,208.03957883505723
6,R170,230,475.1,12.26,392.79,6.88,305.6736568415873,208.03957883505723
7,R170,245,452.2,20.1,353.92,11.4,305.6736568415873,208.03957883505723
8,R170,260,428.2,31.3,318.74,17.5,305.6736568415873,208.03957883505723
9,R170,275,395.5,52.4,270.63,26.5,305.6736568415873,208.03957883505723
0,R50,120,414.25,3.51,493.79,2.06,188.99373739790718,162.50823404114038
1,R50,135,388.1,7.92,456.33,5.01,188.99373739790718,162.50823404114038
2,R50,150,361.1,18.2,404.66,11.61,188.99373739790718,162.50823404114038
3,R50,165,323.2,32.1,338.8,20.4,188.99373739790718,162.50823404114038
4,R50,175,296.3,48.2,287.01,28.9,188.99373739790718,162.50823404114038
